VILLNAME,每坪租金（含管理費與停車費）,里
裕聖里,656.4564545454546,裕聖里
裕農里,871.0462533333333,裕農里
西勢里,818.863,西勢里
西和里,753.2661481481482,西和里
西橋里,769.9714347826088,西橋里
西湖里,866.512015625,西湖里
西灣里,774.8976333333334,西灣里
西賢里,675.3033409090908,西賢里
賢北里,795.203,賢北里
赤嵌里,889.0572910447761,赤嵌里
路東里,648.3208571428571,路東里
郡南里,619.2766666666666,郡南里
郡王里,922.043918918919,郡王里
重興里,808.8261176470588,重興里
金城里,944.722,金城里
金華里,703.7014242424243,金華里
長勝里,784.621108108108,長勝里
長安里,485.7562857142857,長安里
長興里,887.842,長興里
開元里,910.3462417582418,開元里
開南里,524.0528571428571,開南里
開山里,765.3567428571429,開山里
關聖里,785.5203333333333,關聖里
雙安里,1039.1975555555555,雙安里
頂安里,666.6129999999999,頂安里
鳳凰里,462.0474736842105,鳳凰里
鹽埕里,669.5238666666667,鹽埕里
龍埔里,739.2668181818182,龍埔里
龍山里,883.8283673469388,龍山里
龍潭里,730.124761904762,龍潭里
